SA2_NAME16,population
Avoca Beach - Copacabana,7546
Box Head - MacMasters Beach,10956
Calga - Kulnura,4811
Erina - Green Point,14240
Gosford - Springfield,19284
Kariong,6559
Kincumber - Picketts Valley,7429
Narara,6829
Niagara Park - Lisarow,8202
Point Clare - Koolewong,6329
Saratoga - Davistown,7142
Terrigal - North Avoca,13909
Umina - Booker Bay - Patonga,24037
Wamberal - Forresters Beach,10146
Woy Woy - Blackwall,14181
Wyoming,11657
Bateau Bay - Killarney Vale,22412
Blue Haven - San Remo,11305
Budgewoi - Buff Point - Halekulani,9570
Chittaway Bay - Tumbi Umbi,15714
Gorokan - Kanwal - Charmhaven,22489
Jilliby - Yarramalong,3474
Lake Munmorah - Mannering Park,10984
Ourimbah - Fountaindale,4994
Summerland Point - Gwandalan,5844
The Entrance,15237
Toukley - Norah Head,9966
Tuggerah - Kangy Angy,5469
Warnervale - Wadalba,15573
Wyong,9021
Baulkham Hills (East),23665
Baulkham Hills (West) - Bella Vista,20888
Glenhaven,6426
West Pennant Hills,13224
Castle Hill - Central,7908
Castle Hill - East,5780
Castle Hill - North,12314
Castle Hill - South,9877
Castle Hill - West,5371
Cherrybrook,19474
Kellyville,23834
Dural - Kenthurst - Wisemans Ferry,21705
Galston - Laughtondale,5371
Bilpin - Colo - St Albans,2745
Kurrajong Heights - Ebenezer,22420
Pitt Town - McGraths Hill,10779
Rouse Hill - Beaumont Hills,23302
Blacktown (East) - Kings Park,17600
Blacktown (North) - Marayong,18503
Doonside - Woodcroft,23426
Lalor Park - Kings Langley,25611
Seven Hills - Toongabbie,24788
Blacktown (South),12744
Blacktown (West),16719
Glenwood,16652
Parklea - Kellyville Ridge,33702
Riverstone - Marsden Park,17893
Acacia Gardens,3905
Quakers Hill,23593
Bidwill - Hebersham - Emerton,18970
Glendenning - Dean Park,8602
Hassall Grove - Plumpton,21243
Lethbridge Park - Tregear,21322
Mount Druitt - Whalan,23382
Prospect Reservoir,40
Rooty Hill - Minchinbury,21661
Banksmeadow,21
Botany,11272
Mascot - Eastlakes,25736
Pagewood - Hillsdale - Daceyville,11931
Port Botany Industrial,7
Sydney Airport,202
Marrickville,27924
Petersham - Stanmore,21314
Sydenham - Tempe - St Peters,8336
Darlinghurst,12202
Erskineville - Alexandria,17340
Glebe - Forest Lodge,20814
Newtown - Camperdown - Darlington,26297
Potts Point - Woolloomooloo,22990
Pyrmont - Ultimo,23339
Redfern - Chippendale,24207
Surry Hills,17844
Sydney - Haymarket - The Rocks,29970
Waterloo - Beaconsfield,35323
Bondi - Tamarama - Bronte,20097
Bondi Beach - North Bondi,22559
Bondi Junction - Waverly,17924
Centennial Park,3
Double Bay - Bellevue Hill,26781
Dover Heights,11526
Paddington - Moore Park,16411
Rose Bay - Vaucluse - Watsons Bay,12685
Woollahra,8166
Coogee - Clovelly,27325
Malabar - La Perouse - Chifley,25405
Kensington (NSW),15748
Kingsford,16471
Maroubra - North,10365
Maroubra - South,11293
Maroubra - West,10833
Randwick - North,17880
Randwick - South,13946
Bass Hill - Georges Hall,22770
Chullora,915
Condell Park,11844
Greenacre - Mount Lewis,27280
Padstow,17012
Panania - Milperra - Picnic Point,26461
Revesby,16800
Yagoona - Birrong,21505
Bankstown - North,17057
Bankstown - South,16765
Belmore - Belfield,19984
Canterbury (South) - Campsie,32017
Kingsgrove (North) - Earlwood,25014
Punchbowl,21693
Roselands,14208
Lakemba,18056
Wiley Park,10847
Hurstville,24845
Mortdale - Penshurst,24794
Narwee - Beverly Hills,14337
Oatley - Hurstville Grove,13214
Peakhurst - Lugarno,18571
Riverwood,11724
South Hurstville - Blakehurst,25248
Arncliffe - Bardwell Valley,22911
Bexley,27881
Kingsgrove (South) - Bardwell Park,13299
Kogarah,11901
Kogarah Bay - Carlton - Allawah,16741
Monterey - Brighton-le-Sands - Kyeemagh,14728
Rockdale - Banksia,21180
Sans Souci - Ramsgate,16852
Concord - Mortlake - Cabarita,22706
Concord West - North Strathfield,26116
Drummoyne - Rodd Point,19276
Five Dock - Abbotsford,21497
Balmain,16650
Leichhardt - Annandale,27957
Lilyfield - Rozelle,14933
Ashfield,25655
Burwood - Croydon,25879
Canterbury (North) - Ashbury,10982
Croydon Park - Enfield,17862
Dulwich Hill - Lewisham,17636
Haberfield - Summer Hill,14129
Homebush,17086
Strathfield,26212
Strathfield South,3692
Chatswood (East) - Artarmon,29996
Chatswood (West) - Lane Cove North,22065
Lane Cove - Greenwich,27960
St Leonards - Naremburn,11065
Willoughby - Castle Cove - Northbridge,26738
Asquith - Mount Colah,18895
Berowra - Brooklyn - Cowan,12045
Normanhurst - Thornleigh - Westleigh,19141
Hornsby - East,12312
Hornsby - West,11084
Waitara - Wahroonga (West),9979
Gordon - Killara,22297
Lindfield - Roseville,24098
Pymble,17056
St Ives,21512
Turramurra,19860
Wahroonga (East) - Warrawee,18651
Cremorne - Cammeray,20281
Crows Nest - Waverton,19125
Mosman,30215
Neutral Bay - Kirribilli,19052
North Sydney - Lavender Bay,11479
Balgowlah - Clontarf - Seaforth,21325
Manly - Fairlight,23669
Avalon - Palm Beach,13109
Bayview - Elanora Heights,11289
Newport - Bilgola,13927
Warriewood - Mona Vale,25179
Beacon Hill - Narraweena,14428
Cromer,7761
Dee Why - North Curl Curl,26354
Forestville - Killarney Heights,13326
Frenchs Forest - Belrose,26366
Freshwater - Brookvale,22330
Manly Vale - Allambie Heights,17601
Narrabeen - Collaroy,25903
Terrey Hills - Duffys Forest,3777
Camden - Ellis Lane,13277
Elderslie - Harrington Park,21700
Mount Annan - Currans Hill,29235
Bradbury - Wedderburn,19484
Campbelltown - Woodbine,18604
Claymore - Eagle Vale - Raby,20989
Holsworthy Military Area,0
Ingleburn - Denham Court,20675
Leumeah - Minto Heights,16934
Macquarie Fields - Glenfield,24259
Minto - St Andrews,20388
Rosemeadow - Glen Alpine,21512
Bargo,5861
Douglas Park - Appin,9985
Picton - Tahmoor - Buxton,17149
The Oaks - Oakdale,9220
Blackheath - Megalong Valley,5659
Blaxland - Warrimoo - Lapstone,19373
Blue Mountains - North,13
Katoomba - Leura,13613
Lawson - Hazelbrook - Linden,11452
Springwood - Winmalee,22138
Wentworth Falls,6248
Blue Mountains - South,4
Cambridge Park,15937
Castlereagh - Cranebrook,24472
Emu Plains - Leonay,14566
Glenmore Park - Regentville,21793
Jamisontown - South Penrith,17684
Kingswood - Werrington,20157
Mulgoa - Luddenham - Orchard Hills,9914
Penrith,13630
Warragamba - Silverdale,5299
Richmond - Clarendon,14136
Windsor - Bligh Park,15746
Yarramundi - Londonderry,7587
Erskine Park,6595
St Clair,20377
Colyton - Oxley Park,11922
St Marys - North St Marys,16533
Homebush Bay - Silverwater,19594
Rookwood Cemetery,3
Auburn - Central,18070
Auburn - North,11971
Auburn - South,8897
Berala,9312
Lidcombe,20936
Regents Park,5294
Carlingford,28396
Ermington - Rydalmere,22020
Oatlands - Dundas Valley,18448
Chester Hill - Sefton,19060
Fairfield - East,15972
Granville - Clyde,21894
Greystanes - Pemulwuy,27324
Guildford - South Granville,21848
Guildford West - Merrylands West,21520
Merrylands - Holroyd,29836
Smithfield Industrial,35
Yennora Industrial,23
North Parramatta,23066
North Rocks,8224
Northmead,21222
Parramatta - Rosehill,30741
Toongabbie - Constitution Hill,22602
Winston Hills,11119
Pendle Hill - Girraween,13412
Wentworthville - Westmead,16322
Epping - North Epping,28110
Pennant Hills - Cheltenham,21178
Eastwood - Denistone,26256
Gladesville - Huntleys Point,15070
Hunters Hill - Woolwich,10819
Macquarie Park - Marsfield,22784
North Ryde - East Ryde,12778
West Ryde - Meadowbank,20337
Putney,4323
Ryde,28506
Ashcroft - Busby - Miller,17751
Austral - Greendale,9168
Cobbitty - Leppington,18505
Badgerys Creek,62
Cecil Hills,7296
Green Valley,13031
Hinchinbrook,12825
Hoxton Park - Carnes Hill - Horningsea Park,12000
West Hoxton - Middleton Grange,15740
Bonnyrigg Heights - Bonnyrigg,16636
Bossley Park - Abbotsbury,19650
Cabramatta - Lansvale,25844
Cabramatta West - Mount Pritchard,17810
Canley Vale - Canley Heights,21546
Edensor Park,10242
Fairfield,18363
Fairfield - West,19791
Greenfield Park - Prairiewood,8618
Horsley Park - Kemps Creek,4637
Smithfield - Wetherill Park,18608
St Johns Park - Wakeley,11285
Wetherill Park Industrial,46
Casula,16223
Chipping Norton - Moorebank,19319
Holsworthy - Wattle Grove,21504
Liverpool,28680
Lurnea - Cartwright,12122
Prestons - Edmondson Park,18255
Warwick Farm,6135
Gymea - Grays Point,17986
Miranda - Yowie Bay,18857
Sylvania - Taren Point,16591
Caringbah,12246
Caringbah South,12495
Cronulla - Kurnell - Bundeena,24583
Lilli Pilli - Port Hacking - Dolans Bay,3264
Woolaware - Burraneer,8084
Heathcote - Waterfall,6674
Illawong - Alfords Point,10836
Menai - Lucas Heights - Woronora,21692
Oyster Bay - Como - Jannali,21974
Royal National Park,28
Sutherland - Kirrawee,21499
Engadine,17434
Loftus - Yarrawarrah,7435
Woronora Heights,3749
Braidwood,3945
Karabar,8615
Queanbeyan,11235
Queanbeyan - East,5049
Queanbeyan Region,17435
Queanbeyan West - Jerrabomberra,13193
Bombala,2425
Cooma,6890
Cooma Region,3334
Jindabyne - Berridale,7091
Batemans Bay,7842
Batemans Bay - South,8570
Bega - Tathra,8607
Bega-Eden Hinterland,8961
Broulee - Tomakin,3317
Deua - Wadbilliga,27
Eden,3281
